discoverymethod,disc_year,pl_rade,pl_masse,pl_orbper,pl_dens,pl_orbeccen
Transit,2014,2.95,,30.8264713,,0.0
Transit,2014,,,2.024143568,,
Microlensing,2019,,640.0,,,
Transit,2014,2.321,,,,
Transit,2016,1.69,,5.60906,,
Transit,2022,16.81347105,143.02278315,2.9223,,0.068
Transit,2023,1.55,,17.157236,,0.0
Transit,2016,3.94,,3.314947362,,0.0
Radial Velocity,2007,13.1431,,21.216464,,
Transit,2020,,,62.56160747,,
Transit,2016,,,59.6220946208,,
Transit,2016,1.39,,18.0540381,,0.0
Radial Velocity,2005,12.77826,362.3262,2.22,,
Transit,2016,2.02,,44.96417488,,0.0
Transit,2013,,,210.6013843,,
Transit,2016,9.16,,4.225384512,,0.0
Transit,2021,1.5,,5.61357629,,0.0
Transit,2017,3.07,,30.954,,
Transit,2014,2.11,,7.1864526,,0.0
Transit,2013,10.518,,3.578780551,,
Transit,2016,1.18,,16.2950903,,0.0
Transit,2016,2.456,,,,
Transit,2014,2.75,,13.76708539,,0.0
Transit,2016,,,13.52252364,,
Radial Velocity,2009,,,1475.0,,0.7
Transit,2014,2.508,,,,
Transit,2025,14.44837612,403.32424848,5.167228,0.74,0.0
Transit,2016,1.6,,0.663085361,,0.0
Transit,2016,1.75,,23.4774101,,
Radial Velocity,2005,8.29466,120.7754,2.87589,,0.0
Transit,2016,0.94,,2.31942009,,
Transit,2013,1.74,,242.46712,,0.0
Transit,2016,,,34.18883069,,
Transit,2014,,,7.6263245412,,
Transit,2014,1.854,,,,
Transit,2016,3.32,,20.5533844,,0.0
Transit,2021,2.82,,10.41890782,,0.0
Transit,2014,2.08,,21.22341,,0.0
Transit,2021,2.587,,14.91094205,1.11225,0.0
Transit,2016,1.22,,3.568096926,,0.0
Transit,2014,5.41,,6.581484,,
Transit,2016,,,142.545,,
Transit,2017,2.04,2.35,6.20142,1.51,
Transit,2014,1.706,,2.09081565,,
Transit,2016,1.59,,5.866033,,0.0
Transit,2014,1.08,,15.36843606,,
Transit,2020,18.38276,254.264,5.147878,0.224,0.0
Transit,2014,2.21,,15.79193725,,
Transit,2014,,,8.37159554,,
Transit,2016,1.22,,4.165471,,0.0
Transit,2018,10.4972,,3.5608112,,
Transit,2016,2.66,,51.3285623,,
Transit,2016,22.27,,5.546083089,,0.0
Transit,2016,2.328,,,,
Transit,2016,,,3.77058174,,
Transit,2014,2.25,,7.953547,,0.0
Transit,2018,2.69,,9.327527,,
Transit,2016,,,158.684563283,,
Transit,2021,1.2,,15.3317018,,0.0
Radial Velocity,2025,,,29.671,,0.0
Transit,2016,2.43,,13.89961966,,0.0
Transit,2016,2.87,,15.7738221,,0.0
Transit,2016,1.22,,13.93290318,,0.0
Transit,2014,0.64,,10.31320643,,
Transit,2016,2.07,,17.76080053,,
Transit,2016,2.5,,11.08507658,,0.0
Transit,2014,1.59,,8.13000457,,
Radial Velocity,2005,12.755842,356.92309,2.2185752,0.943,0.0039
Transit,2018,16.7675,,1.6091845,,
Transit,2016,7.0,,4.147020258,,
Transit,2016,2.63,,4.093573252,,
Transit,2016,1.35,,26.0841212,,0.0
Transit,2010,8.877528,77.86835,3.9227186,0.61,0.059
Transit,2014,1.74,,3.289684,,0.0
Radial Velocity,2005,,,3.458,,0.187
Radial Velocity,2004,,,44.3787,,0.053
Transit,2016,2.59,,3.76182115,,0.0
Transit,2009,13.069694,937.5985,8.886593,2.3,0.18
Transit,2016,1.598,,,,
Transit,2014,15.277867,403.6441,1.0187068,0.62,0.35
Transit,2014,,,8.12999858,,
Transit,2013,,,42.88247951,,
Radial Velocity,2022,,7923.46218651,74839.94555,,0.773
Radial Velocity,2008,,,1005.57,,0.037
Transit,2016,2.404,,,,
Transit,2016,1.4,,0.567857136,,0.0
Transit,2021,1.024,,8.27744313,,
Transit,2012,,,3.6623907,,
Transit,2016,1.92,,8.50699658,,0.0
Transit,2015,,,15.41312391,,
Transit,2014,4.66,,12.465995556,,0.0
Transit,2015,7.74,28.5,7.9194,0.334,0.0
Radial Velocity,2014,,,17.478,,0.08
Transit,2016,,,28.2274965369,,
Transit,2018,12.285064,508.528,2.34478022,1.6,
Transit,2016,2.95906745,,19.565557,,
Transit,2012,,4.1,7.132,,0.0108
Transit,2016,,,8.04730283,,
Transit,2016,1.125,,110.2869374,,
Transit,2019,1.423,,3.3596055,,
Transit,2016,,,27.6652847,,
